# page: index.html
# viewport: 1280x900 at device pixel ratio 1
# base: paper light in full; every other row lists only what moved from it

cat-art | paper light | img.cat-art | color=rgb(26, 26, 24); font-family="Source Serif 4", Charter, "Bitstream Charter", "Iowan Old Style", "Palatino Linotype", Palatino, Georgia, serif; font-size=19px; font-weight=400; line-height=32.68px; display=block; max-width=100%; margin-left=3px; overflow-x=clip; overflow-y=clip
pill | slate light | span.easy.pill | color=rgb(20, 108, 51); background-color=color(srgb 0.880196 0.925059 0.896); border-top-color=color(srgb 0.677451 0.798235 0.72); border-right-color=color(srgb 0.677451 0.798235 0.72); border-bottom-color=color(srgb 0.677451 0.798235 0.72); border-left-color=color(srgb 0.677451 0.798235 0.72)
pill | slate dark | span.easy.pill | color=rgb(111, 221, 160); background-color=color(srgb 0.121412 0.191137 0.18051); border-top-color=color(srgb 0.200784 0.361961 0.293529); border-right-color=color(srgb 0.200784 0.361961 0.293529); border-bottom-color=color(srgb 0.200784 0.361961 0.293529); border-left-color=color(srgb 0.200784 0.361961 0.293529)
pill | ink light | span.easy.pill | color=rgb(20, 96, 44); background-color=color(srgb 0.880196 0.918941 0.892431); border-top-color=color(srgb 0.677451 0.781765 0.710392); border-right-color=color(srgb 0.677451 0.781765 0.710392); border-bottom-color=color(srgb 0.677451 0.781765 0.710392); border-left-color=color(srgb 0.677451 0.781765 0.710392)
pill | ink dark | span.easy.pill | color=rgb(131, 223, 160); background-color=color(srgb 0.117961 0.168275 0.139569); border-top-color=color(srgb 0.218039 0.346863 0.262941); border-right-color=color(srgb 0.218039 0.346863 0.262941); border-bottom-color=color(srgb 0.218039 0.346863 0.262941); border-left-color=color(srgb 0.218039 0.346863 0.262941)
pill | sage light | span.easy.pill | color=rgb(15, 95, 67); background-color=color(srgb 0.864 0.911608 0.876863); border-top-color=color(srgb 0.660392 0.775294 0.721569); border-right-color=color(srgb 0.660392 0.775294 0.721569); border-bottom-color=color(srgb 0.660392 0.775294 0.721569); border-left-color=color(srgb 0.660392 0.775294 0.721569)
pill | sage dark | span.easy.pill | color=rgb(114, 217, 167); background-color=color(srgb 0.119529 0.189098 0.146549); border-top-color=color(srgb 0.202353 0.356471 0.275098); border-right-color=color(srgb 0.202353 0.356471 0.275098); border-bottom-color=color(srgb 0.202353 0.356471 0.275098); border-left-color=color(srgb 0.202353 0.356471 0.275098)
pill | harbor light | span.easy.pill | color=rgb(14, 102, 64); background-color=color(srgb 0.86349 0.915177 0.899216); border-top-color=color(srgb 0.65902 0.784902 0.735294); border-right-color=color(srgb 0.65902 0.784902 0.735294); border-bottom-color=color(srgb 0.65902 0.784902 0.735294); border-left-color=color(srgb 0.65902 0.784902 0.735294)
pill | harbor dark | span.easy.pill | color=rgb(103, 214, 158); background-color=color(srgb 0.100275 0.184157 0.172667); border-top-color=color(srgb 0.177059 0.349804 0.285686); border-right-color=color(srgb 0.177059 0.349804 0.285686); border-bottom-color=color(srgb 0.177059 0.349804 0.285686); border-left-color=color(srgb 0.177059 0.349804 0.285686)
pill | aubergine light | span.easy.pill | color=rgb(22, 99, 47); background-color=color(srgb 0.874392 0.906824 0.887137); border-top-color=color(srgb 0.675098 0.775686 0.709412); border-right-color=color(srgb 0.675098 0.775686 0.709412); border-bottom-color=color(srgb 0.675098 0.775686 0.709412); border-left-color=color(srgb 0.675098 0.775686 0.709412)
pill | aubergine dark | span.easy.pill | color=rgb(120, 210, 158); background-color=color(srgb 0.136235 0.165059 0.155608); border-top-color=color(srgb 0.220784 0.331569 0.272941); border-right-color=color(srgb 0.220784 0.331569 0.272941); border-bottom-color=color(srgb 0.220784 0.331569 0.272941); border-left-color=color(srgb 0.220784 0.331569 0.272941)
pill | press light | span.easy.pill | color=rgb(55, 103, 71); background-color=color(srgb 0.874157 0.888392 0.85502); border-top-color=color(srgb 0.707647 0.765882 0.709216); border-right-color=color(srgb 0.707647 0.765882 0.709216); border-bottom-color=color(srgb 0.707647 0.765882 0.709216); border-left-color=color(srgb 0.707647 0.765882 0.709216)
pill | press dark | span.easy.pill | color=rgb(126, 203, 149); background-color=color(srgb 0.163176 0.188784 0.137373); border-top-color=color(srgb 0.246863 0.342353 0.250392); border-right-color=color(srgb 0.246863 0.342353 0.250392); border-bottom-color=color(srgb 0.246863 0.342353 0.250392); border-left-color=color(srgb 0.246863 0.342353 0.250392)
pill | paper light | span.hard.pill | color=rgb(166, 58, 36); background-color=color(srgb 0.947804 0.889333 0.864471); border-top-color=color(srgb 0.872745 0.721961 0.681569); border-right-color=color(srgb 0.872745 0.721961 0.681569); border-bottom-color=color(srgb 0.872745 0.721961 0.681569); border-left-color=color(srgb 0.872745 0.721961 0.681569); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=11.36px; font-weight=700; line-height=19.5392px; display=block; padding-top=2.56px; padding-right=8px; padding-bottom=2.56px; padding-left=8px; border-top-width=1px; border-right-width=1px; border-bottom-width=1px; border-left-width=1px; border-top-style=solid; border-right-style=solid; border-bottom-style=solid; border-left-style=solid; border-top-left-radius=999px; border-top-right-radius=999px; border-bottom-right-radius=999px; border-bottom-left-radius=999px
pill | paper dark | span.hard.pill | color=rgb(240, 164, 141); background-color=color(srgb 0.200824 0.158667 0.123059); border-top-color=color(srgb 0.388039 0.281176 0.231765); border-right-color=color(srgb 0.388039 0.281176 0.231765); border-bottom-color=color(srgb 0.388039 0.281176 0.231765); border-left-color=color(srgb 0.388039 0.281176 0.231765)
pill | slate light | span.hard.pill | color=rgb(168, 31, 31); background-color=color(srgb 0.955647 0.885804 0.885804); border-top-color=color(srgb 0.880588 0.692549 0.692549); border-right-color=color(srgb 0.880588 0.692549 0.692549); border-bottom-color=color(srgb 0.880588 0.692549 0.692549); border-left-color=color(srgb 0.880588 0.692549 0.692549)
pill | slate dark | span.hard.pill | color=rgb(244, 163, 163); background-color=color(srgb 0.189216 0.161569 0.182039); border-top-color=color(srgb 0.383333 0.282353 0.297647); border-right-color=color(srgb 0.383333 0.282353 0.297647); border-bottom-color=color(srgb 0.383333 0.282353 0.297647); border-left-color=color(srgb 0.383333 0.282353 0.297647)
pill | ink light | span.hard.pill | color=rgb(150, 24, 24); background-color=color(srgb 0.946471 0.882235 0.882235); border-top-color=color(srgb 0.855882 0.682941 0.682941); border-right-color=color(srgb 0.855882 0.682941 0.682941); border-bottom-color=color(srgb 0.855882 0.682941 0.682941); border-left-color=color(srgb 0.855882 0.682941 0.682941)
pill | ink dark | span.hard.pill | color=rgb(255, 168, 168); background-color=color(srgb 0.181176 0.140235 0.143647); border-top-color=color(srgb 0.388235 0.271373 0.273922); border-right-color=color(srgb 0.388235 0.271373 0.273922); border-bottom-color=color(srgb 0.388235 0.271373 0.273922); border-left-color=color(srgb 0.388235 0.271373 0.273922)
pill | sage light | span.hard.pill | color=rgb(158, 53, 32); background-color=color(srgb 0.936902 0.890196 0.85902); border-top-color=color(srgb 0.856667 0.717647 0.673529); border-right-color=color(srgb 0.856667 0.717647 0.673529); border-bottom-color=color(srgb 0.856667 0.717647 0.673529); border-left-color=color(srgb 0.856667 0.717647 0.673529)
pill | sage dark | span.hard.pill | color=rgb(241, 154, 125); background-color=color(srgb 0.184275 0.15698 0.125137); border-top-color=color(srgb 0.376667 0.27 0.217451); border-right-color=color(srgb 0.376667 0.27 0.217451); border-bottom-color=color(srgb 0.376667 0.27 0.217451); border-left-color=color(srgb 0.376667 0.27 0.217451)
pill | harbor light | span.hard.pill | color=rgb(168, 56, 40); background-color=color(srgb 0.942 0.891725 0.88698); border-top-color=color(srgb 0.870392 0.721765 0.702353); border-right-color=color(srgb 0.870392 0.721765 0.702353); border-bottom-color=color(srgb 0.870392 0.721765 0.702353); border-left-color=color(srgb 0.870392 0.721765 0.702353)
pill | harbor dark | span.hard.pill | color=rgb(243, 150, 128); background-color=color(srgb 0.171647 0.151529 0.157373); border-top-color=color(srgb 0.369216 0.261961 0.24451); border-right-color=color(srgb 0.369216 0.261961 0.24451); border-bottom-color=color(srgb 0.369216 0.261961 0.24451); border-left-color=color(srgb 0.369216 0.261961 0.24451)
pill | aubergine light | span.hard.pill | color=rgb(157, 47, 38); background-color=color(srgb 0.943216 0.880314 0.882549); border-top-color=color(srgb 0.860392 0.704314 0.697059); border-right-color=color(srgb 0.860392 0.704314 0.697059); border-bottom-color=color(srgb 0.860392 0.704314 0.697059); border-left-color=color(srgb 0.860392 0.704314 0.697059)
pill | aubergine dark | span.hard.pill | color=rgb(243, 156, 141); background-color=color(srgb 0.198941 0.137529 0.146941); border-top-color=color(srgb 0.389608 0.257451 0.249608); border-right-color=color(srgb 0.389608 0.257451 0.249608); border-bottom-color=color(srgb 0.389608 0.257451 0.249608); border-left-color=color(srgb 0.389608 0.257451 0.249608)
pill | press light | span.hard.pill | color=rgb(155, 36, 24); background-color=color(srgb 0.925137 0.854235 0.831059); border-top-color=color(srgb 0.844902 0.673922 0.644706); border-right-color=color(srgb 0.844902 0.673922 0.644706); border-bottom-color=color(srgb 0.844902 0.673922 0.644706); border-left-color=color(srgb 0.844902 0.673922 0.644706)
pill | press dark | span.hard.pill | color=rgb(240, 154, 131); background-color=color(srgb 0.221294 0.163804 0.128196); border-top-color=color(srgb 0.403333 0.275098 0.225686); border-right-color=color(srgb 0.403333 0.275098 0.225686); border-bottom-color=color(srgb 0.403333 0.275098 0.225686); border-left-color=color(srgb 0.403333 0.275098 0.225686)
pill | paper light | span.med.pill | color=rgb(122, 90, 10); background-color=color(srgb 0.915098 0.892941 0.832549); border-top-color=color(srgb 0.812353 0.765882 0.645882); border-right-color=color(srgb 0.812353 0.765882 0.645882); border-bottom-color=color(srgb 0.812353 0.765882 0.645882); border-left-color=color(srgb 0.812353 0.765882 0.645882); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=11.36px; font-weight=700; line-height=19.5392px; display=block; padding-top=2.56px; padding-right=8px; padding-bottom=2.56px; padding-left=8px; border-top-width=1px; border-right-width=1px; border-bottom-width=1px; border-left-width=1px; border-top-style=solid; border-right-style=solid; border-bottom-style=solid; border-left-style=solid; border-top-left-radius=999px; border-top-right-radius=999px; border-bottom-right-radius=999px; border-bottom-left-radius=999px
pill | paper dark | span.med.pill | color=rgb(220, 174, 58); background-color=color(srgb 0.206078 0.175686 0.0841176); border-top-color=color(srgb 0.360588 0.294902 0.117843); border-right-color=color(srgb 0.360588 0.294902 0.117843); border-bottom-color=color(srgb 0.360588 0.294902 0.117843); border-left-color=color(srgb 0.360588 0.294902 0.117843)
pill | slate light | span.med.pill | color=rgb(125, 83, 6); background-color=color(srgb 0.923529 0.898823 0.853529); border-top-color=color(srgb 0.821569 0.763922 0.658235); border-right-color=color(srgb 0.821569 0.763922 0.658235); border-bottom-color=color(srgb 0.821569 0.763922 0.658235); border-left-color=color(srgb 0.821569 0.763922 0.658235)
pill | slate dark | span.med.pill | color=rgb(224, 181, 82); background-color=color(srgb 0.195098 0.183137 0.144902); border-top-color=color(srgb 0.355882 0.307059 0.186471); border-right-color=color(srgb 0.355882 0.307059 0.186471); border-bottom-color=color(srgb 0.355882 0.307059 0.186471); border-left-color=color(srgb 0.355882 0.307059 0.186471)
pill | ink light | span.med.pill | color=rgb(99, 80, 10); background-color=color(srgb 0.908235 0.897059 0.855882); border-top-color=color(srgb 0.785882 0.759804 0.663725); border-right-color=color(srgb 0.785882 0.759804 0.663725); border-bottom-color=color(srgb 0.785882 0.759804 0.663725); border-left-color=color(srgb 0.785882 0.759804 0.663725)
pill | ink dark | span.med.pill | color=rgb(230, 196, 108); background-color=color(srgb 0.185294 0.168627 0.120196); border-top-color=color(srgb 0.353922 0.309804 0.191569); border-right-color=color(srgb 0.353922 0.309804 0.191569); border-bottom-color=color(srgb 0.353922 0.309804 0.191569); border-left-color=color(srgb 0.353922 0.309804 0.191569)
pill | sage light | span.med.pill | color=rgb(125, 83, 9); background-color=color(srgb 0.910196 0.892157 0.828627); border-top-color=color(srgb 0.811373 0.758824 0.641961); border-right-color=color(srgb 0.811373 0.758824 0.641961); border-bottom-color=color(srgb 0.811373 0.758824 0.641961); border-left-color=color(srgb 0.811373 0.758824 0.641961)
pill | sage dark | span.med.pill | color=rgb(220, 182, 76); background-color=color(srgb 0.189412 0.183725 0.104706); border-top-color=color(srgb 0.347843 0.308431 0.150196); border-right-color=color(srgb 0.347843 0.308431 0.150196); border-bottom-color=color(srgb 0.347843 0.308431 0.150196); border-left-color=color(srgb 0.347843 0.308431 0.150196)
pill | harbor light | span.med.pill | color=rgb(125, 86, 6); background-color=color(srgb 0.910196 0.893922 0.850196); border-top-color=color(srgb 0.811373 0.762941 0.655686); border-right-color=color(srgb 0.811373 0.762941 0.655686); border-bottom-color=color(srgb 0.811373 0.762941 0.655686); border-left-color=color(srgb 0.811373 0.762941 0.655686)
pill | harbor dark | span.med.pill | color=rgb(219, 179, 78); background-color=color(srgb 0.17549 0.178627 0.135882); border-top-color=color(srgb 0.336275 0.301765 0.175882); border-right-color=color(srgb 0.336275 0.301765 0.175882); border-bottom-color=color(srgb 0.336275 0.301765 0.175882); border-left-color=color(srgb 0.336275 0.301765 0.175882)
pill | aubergine light | span.med.pill | color=rgb(111, 82, 16); background-color=color(srgb 0.908627 0.884902 0.852745); border-top-color=color(srgb 0.797255 0.752353 0.666863); border-right-color=color(srgb 0.797255 0.752353 0.666863); border-bottom-color=color(srgb 0.797255 0.752353 0.666863); border-left-color=color(srgb 0.797255 0.752353 0.666863)
pill | aubergine dark | span.med.pill | color=rgb(224, 180, 95); background-color=color(srgb 0.205098 0.162549 0.129216); border-top-color=color(srgb 0.363529 0.290392 0.186471); border-right-color=color(srgb 0.363529 0.290392 0.186471); border-bottom-color=color(srgb 0.363529 0.290392 0.186471); border-left-color=color(srgb 0.363529 0.290392 0.186471)
pill | press light | span.med.pill | color=rgb(122, 86, 6); background-color=color(srgb 0.898431 0.867255 0.803529); border-top-color=color(srgb 0.799608 0.742549 0.62); border-right-color=color(srgb 0.799608 0.742549 0.62); border-bottom-color=color(srgb 0.799608 0.742549 0.62); border-left-color=color(srgb 0.799608 0.742549 0.62)
pill | press dark | span.med.pill | color=rgb(217, 171, 82); background-color=color(srgb 0.224314 0.183922 0.108235); border-top-color=color(srgb 0.371765 0.298431 0.158431); border-right-color=color(srgb 0.371765 0.298431 0.158431); border-bottom-color=color(srgb 0.371765 0.298431 0.158431); border-left-color=color(srgb 0.371765 0.298431 0.158431)
pill | paper light | span.pill | color=rgb(74, 74, 68); background-color=rgb(242, 238, 227); border-top-color=color(srgb 0.876431 0.87302 0.858353); border-right-color=color(srgb 0.876431 0.87302 0.858353); border-bottom-color=color(srgb 0.876431 0.87302 0.858353); border-left-color=color(srgb 0.876431 0.87302 0.858353); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=11.36px; font-weight=700; line-height=19.5392px; display=block; padding-top=2.56px; padding-right=8px; padding-bottom=2.56px; padding-left=8px; border-top-width=1px; border-right-width=1px; border-bottom-width=1px; border-left-width=1px; border-top-style=solid; border-right-style=solid; border-bottom-style=solid; border-left-style=solid; border-top-left-radius=999px; border-top-right-radius=999px; border-bottom-right-radius=999px; border-bottom-left-radius=999px
pill | paper dark | span.pill | color=rgb(195, 189, 174); background-color=rgb(31, 29, 21); border-top-color=color(srgb 0.197765 0.192314 0.162314); border-right-color=color(srgb 0.197765 0.192314 0.162314); border-bottom-color=color(srgb 0.197765 0.192314 0.162314); border-left-color=color(srgb 0.197765 0.192314 0.162314)
pill | slate light | span.pill | color=rgb(67, 73, 85); background-color=rgb(240, 243, 248); border-top-color=color(srgb 0.880196 0.881725 0.884275); border-right-color=color(srgb 0.880196 0.881725 0.884275); border-bottom-color=color(srgb 0.880196 0.881725 0.884275); border-left-color=color(srgb 0.880196 0.881725 0.884275)
pill | slate dark | span.pill | color=rgb(178, 186, 199); background-color=rgb(26, 31, 39); border-top-color=color(srgb 0.182078 0.197765 0.221804); border-right-color=color(srgb 0.182078 0.197765 0.221804); border-bottom-color=color(srgb 0.182078 0.197765 0.221804); border-left-color=color(srgb 0.182078 0.197765 0.221804)
pill | ink light | span.pill | color=rgb(58, 58, 58); background-color=rgb(233, 233, 233); border-top-color=color(srgb 0.876627 0.876627 0.876627); border-right-color=color(srgb 0.876627 0.876627 0.876627); border-bottom-color=color(srgb 0.876627 0.876627 0.876627); border-left-color=color(srgb 0.876627 0.876627 0.876627)
pill | ink dark | span.pill | color=rgb(200, 200, 200); background-color=rgb(24, 25, 27); border-top-color=color(srgb 0.176078 0.17949 0.182902); border-right-color=color(srgb 0.176078 0.17949 0.182902); border-bottom-color=color(srgb 0.176078 0.17949 0.182902); border-left-color=color(srgb 0.176078 0.17949 0.182902)
pill | sage light | span.pill | color=rgb(65, 71, 60); background-color=rgb(232, 237, 225); border-top-color=color(srgb 0.867569 0.876431 0.852392); border-right-color=color(srgb 0.867569 0.876431 0.852392); border-bottom-color=color(srgb 0.867569 0.876431 0.852392); border-left-color=color(srgb 0.867569 0.876431 0.852392)
pill | sage dark | span.pill | color=rgb(180, 189, 167); background-color=rgb(25, 32, 26); border-top-color=color(srgb 0.177647 0.197765 0.172039); border-right-color=color(srgb 0.177647 0.197765 0.172039); border-bottom-color=color(srgb 0.177647 0.197765 0.172039); border-left-color=color(srgb 0.177647 0.197765 0.172039)
pill | harbor light | span.pill | color=rgb(60, 71, 79); background-color=rgb(228, 235, 240); border-top-color=color(srgb 0.86502 0.875412 0.882902); border-right-color=color(srgb 0.86502 0.875412 0.882902); border-bottom-color=color(srgb 0.86502 0.875412 0.882902); border-left-color=color(srgb 0.86502 0.875412 0.882902)
pill | harbor dark | span.pill | color=rgb(171, 184, 194); background-color=rgb(20, 29, 36); border-top-color=color(srgb 0.161451 0.193333 0.212941); border-right-color=color(srgb 0.161451 0.193333 0.212941); border-bottom-color=color(srgb 0.161451 0.193333 0.212941); border-left-color=color(srgb 0.161451 0.193333 0.212941)
pill | aubergine light | span.pill | color=rgb(70, 61, 70); background-color=rgb(238, 231, 238); border-top-color=color(srgb 0.875922 0.866039 0.875922); border-right-color=color(srgb 0.875922 0.866039 0.875922); border-bottom-color=color(srgb 0.875922 0.866039 0.875922); border-left-color=color(srgb 0.875922 0.866039 0.875922)
pill | aubergine dark | span.pill | color=rgb(191, 178, 188); background-color=rgb(29, 23, 29); border-top-color=color(srgb 0.194863 0.173216 0.194353); border-right-color=color(srgb 0.194863 0.173216 0.194353); border-bottom-color=color(srgb 0.194863 0.173216 0.194353); border-left-color=color(srgb 0.194863 0.173216 0.194353)
pill | press light | span.pill | color=rgb(74, 68, 60); background-color=rgb(238, 231, 218); border-top-color=color(srgb 0.860392 0.849137 0.830549); border-right-color=color(srgb 0.860392 0.849137 0.830549); border-bottom-color=color(srgb 0.860392 0.849137 0.830549); border-left-color=color(srgb 0.860392 0.849137 0.830549)
pill | press dark | span.pill | color=rgb(194, 183, 163); background-color=rgb(38, 33, 24); border-top-color=color(srgb 0.219765 0.201529 0.16898); border-right-color=color(srgb 0.219765 0.201529 0.16898); border-bottom-color=color(srgb 0.219765 0.201529 0.16898); border-left-color=color(srgb 0.219765 0.201529 0.16898)
sp | paper light | span.sp | color=rgb(26, 26, 24); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=13.12px; font-weight=400; line-height=22.5664px; display=block
sp | paper dark | span.sp | color=rgb(234, 230, 218)
sp | slate light | span.sp | color=rgb(20, 23, 28)
sp | slate dark | span.sp | color=rgb(230, 234, 241)
sp | ink light | span.sp | color=rgb(13, 13, 13)
sp | ink dark | span.sp | color=rgb(245, 245, 245)
sp | sage light | span.sp | color=rgb(22, 26, 19)
sp | sage dark | span.sp | color=rgb(228, 234, 217)
sp | harbor light | span.sp | color=rgb(17, 24, 32)
sp | harbor dark | span.sp | color=rgb(223, 232, 237)
sp | aubergine light | span.sp | color=rgb(25, 19, 25)
sp | aubergine dark | span.sp | color=rgb(235, 226, 234)
sp | press light | span.sp | color=rgb(28, 26, 23)
sp | press dark | span.sp | color=rgb(237, 228, 211)
spine | paper light | nav.spine | color=rgb(26, 26, 24); background-color=color(srgb 0.956863 0.945098 0.905882 / 0.86); border-bottom-color=color(srgb 0.876431 0.87302 0.858353); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=19px; font-weight=400; line-height=32.68px; display=block; position=sticky; border-bottom-width=1px; border-bottom-style=solid
spine | paper dark | nav.spine | color=rgb(234, 230, 218); background-color=color(srgb 0.0627451 0.0588235 0.0392157 / 0.86); border-bottom-color=color(srgb 0.197765 0.192314 0.162314)
spine | slate light | nav.spine | color=rgb(20, 23, 28); background-color=color(srgb 0.917647 0.933333 0.952941 / 0.86); border-bottom-color=color(srgb 0.880196 0.881725 0.884275)
spine | slate dark | nav.spine | color=rgb(230, 234, 241); background-color=color(srgb 0.0431373 0.054902 0.0705882 / 0.86); border-bottom-color=color(srgb 0.182078 0.197765 0.221804)
spine | ink light | nav.spine | color=rgb(13, 13, 13); background-color=color(srgb 0.937255 0.937255 0.937255 / 0.86); border-bottom-color=color(srgb 0.876627 0.876627 0.876627)
spine | ink dark | nav.spine | color=rgb(245, 245, 245); background-color=color(srgb 0.0313726 0.0352941 0.0392157 / 0.86); border-bottom-color=color(srgb 0.176078 0.17949 0.182902)
spine | sage light | nav.spine | color=rgb(22, 26, 19); background-color=color(srgb 0.913725 0.933333 0.890196 / 0.86); border-bottom-color=color(srgb 0.867569 0.876431 0.852392)
spine | sage dark | nav.spine | color=rgb(228, 234, 217); background-color=color(srgb 0.0431373 0.0588235 0.0431373 / 0.86); border-bottom-color=color(srgb 0.177647 0.197765 0.172039)
spine | harbor light | nav.spine | color=rgb(17, 24, 32); background-color=color(srgb 0.901961 0.92549 0.941176 / 0.86); border-bottom-color=color(srgb 0.86502 0.875412 0.882902)
spine | harbor dark | nav.spine | color=rgb(223, 232, 237); background-color=color(srgb 0.027451 0.0509804 0.0666667 / 0.86); border-bottom-color=color(srgb 0.161451 0.193333 0.212941)
spine | aubergine light | nav.spine | color=rgb(25, 19, 25); background-color=color(srgb 0.941176 0.913725 0.941176 / 0.86); border-bottom-color=color(srgb 0.875922 0.866039 0.875922)
spine | aubergine dark | nav.spine | color=rgb(235, 226, 234); background-color=color(srgb 0.054902 0.0392157 0.0588235 / 0.86); border-bottom-color=color(srgb 0.194863 0.173216 0.194353)
spine | press light | nav.spine | color=rgb(28, 26, 23); background-color=color(srgb 0.956863 0.937255 0.901961 / 0.86); border-bottom-color=color(srgb 0.860392 0.849137 0.830549)
spine | press dark | nav.spine | color=rgb(237, 228, 211); background-color=color(srgb 0.0823529 0.0705882 0.0470588 / 0.86); border-bottom-color=color(srgb 0.219765 0.201529 0.16898)
spine-inner | paper light | div.spine-inner | color=rgb(26, 26, 24); font-family=Inter, -apple-system, "Segoe UI Variable Text", "Segoe UI", Roboto, "Helvetica Neue", Arial, sans-serif; font-size=13.12px; font-weight=400; line-height=22.5664px; display=flex; min-height=0px; padding-right=16px; padding-left=18.4px; column-gap=13.6px; row-gap=13.6px; align-items=center
spine-inner | paper dark | div.spine-inner | color=rgb(234, 230, 218)
spine-inner | slate light | div.spine-inner | color=rgb(20, 23, 28)
spine-inner | slate dark | div.spine-inner | color=rgb(230, 234, 241)
spine-inner | ink light | div.spine-inner | color=rgb(13, 13, 13)
spine-inner | ink dark | div.spine-inner | color=rgb(245, 245, 245)
spine-inner | sage light | div.spine-inner | color=rgb(22, 26, 19)
spine-inner | sage dark | div.spine-inner | color=rgb(228, 234, 217)
spine-inner | harbor light | div.spine-inner | color=rgb(17, 24, 32)
spine-inner | harbor dark | div.spine-inner | color=rgb(223, 232, 237)
spine-inner | aubergine light | div.spine-inner | color=rgb(25, 19, 25)
spine-inner | aubergine dark | div.spine-inner | color=rgb(235, 226, 234)
spine-inner | press light | div.spine-inner | color=rgb(28, 26, 23)
spine-inner | press dark | div.spine-inner | color=rgb(237, 228, 211)
wide | paper light | main.wide.wrap | color=rgb(26, 26, 24); background-color=rgb(253, 252, 248); font-family="Source Serif 4", Charter, "Bitstream Charter", "Iowan Old Style", "Palatino Linotype", Palatino, Georgia, serif; font-size=19px; font-weight=400; line-height=32.68px; display=grid; padding-bottom=96px; grid-template-columns=[full-start] 32px [wide-start] 263px [text-start] 691px [text-end] 263px [wide-end] 32px [full-end]
wide | paper dark | main.wide.wrap | color=rgb(234, 230, 218); background-color=rgb(23, 22, 15)
wide | slate light | main.wide.wrap | color=rgb(20, 23, 28); background-color=rgb(255, 255, 255)
wide | slate dark | main.wide.wrap | color=rgb(230, 234, 241); background-color=rgb(19, 23, 29)
wide | ink light | main.wide.wrap | color=rgb(13, 13, 13); background-color=rgb(255, 255, 255)
wide | ink dark | main.wide.wrap | color=rgb(245, 245, 245); background-color=rgb(15, 16, 17)
wide | sage light | main.wide.wrap | color=rgb(22, 26, 19); background-color=rgb(251, 253, 247)
wide | sage dark | main.wide.wrap | color=rgb(228, 234, 217); background-color=rgb(18, 23, 18)
wide | harbor light | main.wide.wrap | color=rgb(17, 24, 32); background-color=rgb(251, 253, 254)
wide | harbor dark | main.wide.wrap | color=rgb(223, 232, 237); background-color=rgb(14, 22, 27)
wide | aubergine light | main.wide.wrap | color=rgb(25, 19, 25); background-color=rgb(253, 251, 253)
wide | aubergine dark | main.wide.wrap | color=rgb(235, 226, 234); background-color=rgb(22, 17, 22)
wide | press light | main.wide.wrap | color=rgb(28, 26, 23); background-color=rgba(0, 0, 0, 0)
wide | press dark | main.wide.wrap | color=rgb(237, 228, 211); background-color=rgba(0, 0, 0, 0)
wrap | paper light | main.wide.wrap | color=rgb(26, 26, 24); background-color=rgb(253, 252, 248); font-family="Source Serif 4", Charter, "Bitstream Charter", "Iowan Old Style", "Palatino Linotype", Palatino, Georgia, serif; font-size=19px; font-weight=400; line-height=32.68px; display=grid; padding-bottom=96px; grid-template-columns=[full-start] 32px [wide-start] 263px [text-start] 691px [text-end] 263px [wide-end] 32px [full-end]
wrap | paper dark | main.wide.wrap | color=rgb(234, 230, 218); background-color=rgb(23, 22, 15)
wrap | slate light | main.wide.wrap | color=rgb(20, 23, 28); background-color=rgb(255, 255, 255)
wrap | slate dark | main.wide.wrap | color=rgb(230, 234, 241); background-color=rgb(19, 23, 29)
wrap | ink light | main.wide.wrap | color=rgb(13, 13, 13); background-color=rgb(255, 255, 255)
wrap | ink dark | main.wide.wrap | color=rgb(245, 245, 245); background-color=rgb(15, 16, 17)
wrap | sage light | main.wide.wrap | color=rgb(22, 26, 19); background-color=rgb(251, 253, 247)
wrap | sage dark | main.wide.wrap | color=rgb(228, 234, 217); background-color=rgb(18, 23, 18)
wrap | harbor light | main.wide.wrap | color=rgb(17, 24, 32); background-color=rgb(251, 253, 254)
wrap | harbor dark | main.wide.wrap | color=rgb(223, 232, 237); background-color=rgb(14, 22, 27)
wrap | aubergine light | main.wide.wrap | color=rgb(25, 19, 25); background-color=rgb(253, 251, 253)
wrap | aubergine dark | main.wide.wrap | color=rgb(235, 226, 234); background-color=rgb(22, 17, 22)
wrap | press light | main.wide.wrap | color=rgb(28, 26, 23); background-color=rgba(0, 0, 0, 0)
wrap | press dark | main.wide.wrap | color=rgb(237, 228, 211); background-color=rgba(0, 0, 0, 0)
