doc_id,topic,model,data,loss,gradient,tensor,training,vector,matrix,recipe,oven,flour,sauce,simmer,knife,dough,flavour,orbit,telescope,galaxy,spectrum,comet,nebula,parsec,eclipse,striker,offside,penalty,midfield,keeper,stadium,kickoff,referee,the,of,and,a,to,in,is,for
d02060,astronomy,1,0,0,4,2,1,2,3,0,2,0,3,0,1,1,0,27,26,27,27,22,24,22,27,1,3,1,0,0,1,1,1,44,42,43,47,43,37,43,49
d02061,machine_learning,20,17,11,19,14,19,16,8,0,2,1,0,0,2,1,2,1,0,1,0,2,0,1,0,0,0,1,0,1,2,1,4,24,29,23,27,17,29,31,29
d02062,cooking,2,0,1,1,3,4,0,2,41,39,38,36,43,40,48,30,0,1,5,1,1,0,1,2,0,3,1,2,1,2,0,1,41,61,65,66,58,67,61,63
d02063,astronomy,5,2,1,2,1,3,2,3,3,0,1,2,2,4,4,1,50,51,33,42,44,37,48,24,2,2,3,2,3,1,2,1,62,65,63,70,64,70,67,50
d02064,machine_learning,4,6,7,11,6,5,13,6,0,2,0,0,0,0,0,0,1,1,0,1,1,1,1,2,0,2,2,0,0,0,0,0,18,16,10,4,12,9,13,11
d02065,football,2,1,1,3,1,1,1,0,1,1,0,0,0,1,0,0,0,2,0,1,1,0,1,0,20,17,16,12,17,18,21,13,31,34,28,38,43,37,39,28
d02066,astronomy,3,1,2,3,4,1,2,0,3,2,4,2,2,4,4,2,49,59,55,54,54,57,52,54,2,4,3,3,2,4,3,3,90,81,96,88,104,100,86,109
d02067,cooking,0,1,0,0,1,1,1,0,3,5,8,8,7,4,9,7,0,0,0,1,1,0,1,0,1,2,1,0,0,0,0,0,7,18,8,19,17,13,12,17
d02068,cooking,2,4,1,2,0,0,1,1,31,38,32,42,37,43,35,35,0,2,3,0,2,1,1,2,0,3,0,3,1,0,1,1,57,64,62,54,61,63,61,50
d02069,cooking,0,1,0,0,0,0,0,1,7,4,6,6,9,9,11,12,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,16,17,13,13,16,14,11,17
d02070,machine_learning,0,4,4,9,7,9,5,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,14,5,11,11,12,9,16,13
d02071,machine_learning,23,26,23,26,23,25,23,23,0,1,1,2,0,1,0,2,2,2,2,2,0,1,0,0,3,4,3,1,1,0,3,2,41,37,45,36,45,38,40,37
d02072,machine_learning,17,6,14,10,7,7,12,10,0,1,2,1,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,21,11,16,16,20,19,20,20
d02073,astronomy,0,1,1,2,1,2,1,1,0,0,0,0,0,1,1,2,21,16,22,20,20,29,28,22,1,1,1,0,0,1,0,4,50,52,33,38,49,32,40,43
d02074,astronomy,0,1,4,0,4,2,3,1,1,1,1,0,1,0,0,2,24,19,23,22,19,16,29,20,1,1,1,1,0,0,1,0,47,34,28,28,31,31,29,30
d02075,cooking,1,0,1,0,1,0,0,1,32,20,34,36,19,16,33,30,1,2,0,1,3,1,2,1,1,2,1,0,0,2,3,2,34,55,36,51,39,44,38,32
d02076,machine_learning,40,33,29,33,33,38,39,26,1,0,3,0,2,0,2,2,4,3,0,3,1,0,1,3,1,0,2,1,2,1,0,3,38,57,60,66,46,47,41,51
d02077,football,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,7,15,7,10,9,8,8,12,14,14,15,13,20,11,17,23
d02078,astronomy,0,2,1,0,1,0,2,0,1,0,0,1,0,1,0,0,9,11,9,9,6,8,7,11,1,0,4,0,2,0,0,0,15,20,13,12,13,15,14,15
d02079,football,0,2,1,1,0,0,0,0,2,0,2,2,2,1,0,2,0,2,1,0,0,0,1,1,20,26,11,18,22,13,22,20,22,27,18,31,28,34,26,27
d02080,cooking,0,0,0,2,1,1,1,0,12,11,16,19,24,9,20,15,1,0,0,0,0,3,0,2,0,0,0,1,0,1,2,1,28,23,21,22,24,26,21,21
d02081,machine_learning,11,10,8,10,15,8,8,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,16,19,16,11,18,15,16,15
d02082,machine_learning,14,12,12,10,11,16,18,13,1,1,2,2,2,0,0,1,2,0,0,1,0,0,0,2,1,1,0,1,2,0,0,0,18,18,24,19,20,14,21,15
d02083,cooking,0,0,0,2,0,0,0,0,10,13,11,9,10,12,6,15,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,13,17,17,19,20,15,19,17
d02084,football,1,0,1,1,0,0,3,0,1,0,0,1,1,0,1,2,1,0,0,0,0,2,0,0,10,16,9,9,13,14,9,10,14,13,22,18,19,17,24,18
d02085,cooking,0,2,1,1,1,4,3,3,25,27,25,25,30,29,29,16,1,1,1,2,1,2,1,0,4,2,1,0,4,0,0,1,45,49,40,43,39,45,41,41
d02086,machine_learning,8,20,8,8,13,10,11,13,1,0,0,1,1,0,0,0,1,0,0,1,1,0,2,2,1,0,0,1,1,1,0,0,21,18,13,17,11,19,15,16
d02087,cooking,2,1,1,1,1,0,1,0,29,35,24,23,26,30,25,31,1,1,2,0,3,0,2,1,1,1,1,1,2,1,0,1,38,38,47,39,37,35,47,41
d02088,cooking,3,1,0,1,0,4,2,3,29,24,25,27,23,27,16,27,0,2,1,0,0,2,1,0,2,2,1,0,0,0,0,1,30,35,40,33,34,35,40,45
d02089,cooking,1,3,0,1,1,1,1,1,16,25,15,26,16,21,19,17,1,2,1,0,1,0,1,1,1,1,2,0,0,1,0,2,21,32,35,33,40,21,30,37
d02090,astronomy,1,0,2,0,1,0,0,2,0,0,0,0,0,0,2,3,8,20,11,12,11,18,6,9,1,0,0,0,0,1,0,0,26,18,24,26,18,17,26,21
d02091,machine_learning,9,14,16,12,16,14,8,8,0,1,2,0,0,1,0,2,0,0,0,0,2,0,1,0,1,0,2,0,0,0,0,1,30,16,23,23,22,15,19,38
d02092,astronomy,0,1,0,1,0,2,2,0,0,0,0,0,2,1,0,2,23,24,28,23,25,29,22,16,2,3,0,0,0,1,0,1,32,36,41,30,32,38,36,39
d02093,astronomy,0,2,0,2,0,0,3,3,0,0,2,1,1,1,3,1,21,23,11,25,17,27,17,19,1,1,0,1,0,1,0,2,29,34,40,23,35,33,35,25
d02094,cooking,3,0,0,1,1,1,3,0,27,25,27,29,24,18,22,24,5,0,3,1,2,3,1,1,2,3,3,0,1,2,0,2,52,41,43,38,46,45,43,46
d02095,astronomy,6,4,1,5,1,4,2,4,4,0,4,3,1,3,1,3,73,78,83,76,75,70,70,71,4,2,4,3,7,3,0,5,124,119,106,110,109,101,117,107
d02096,astronomy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,8,7,4,8,7,10,5,5,0,0,0,2,1,0,1,0,7,10,11,7,11,6,13,5
d02097,machine_learning,21,18,18,12,15,14,22,21,0,1,1,1,1,0,2,0,0,1,1,0,1,2,0,0,0,1,1,0,0,0,0,1,36,23,30,30,26,33,29,28
d02098,cooking,1,0,0,1,2,3,1,2,17,27,20,18,21,32,30,27,1,2,1,4,0,1,1,2,1,2,2,2,0,1,0,0,42,36,43,32,42,38,41,39
d02099,machine_learning,9,6,10,4,5,7,8,6,0,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,9,8,12,13,10,14,7
d02100,machine_learning,49,44,59,45,43,47,45,40,0,2,3,4,2,3,3,4,1,0,2,4,3,3,2,3,3,1,0,4,1,1,3,1,77,99,76,82,96,90,75,92
d02101,cooking,2,1,1,0,0,1,1,2,19,17,19,13,27,21,25,18,2,2,0,1,1,2,1,1,0,2,0,1,0,2,2,1,35,20,39,29,28,35,29,30
d02102,astronomy,2,0,0,1,3,0,3,1,0,0,2,0,2,1,1,1,41,34,38,32,24,36,33,37,1,2,0,2,3,0,0,1,52,49,51,69,61,67,58,58
d02103,machine_learning,16,17,17,19,22,22,21,16,1,0,0,1,1,2,3,0,2,1,0,1,1,2,0,1,1,0,3,1,0,1,1,0,19,22,24,35,21,28,23,24
d02104,cooking,0,0,0,0,0,2,1,0,4,12,15,11,10,17,10,8,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,10,14,22,11,16,18,14,12
d02105,machine_learning,40,31,42,24,34,32,37,28,2,1,1,2,1,0,4,2,2,3,1,3,0,1,1,2,1,1,3,5,2,0,2,1,54,57,60,56,61,55,62,61
d02106,machine_learning,4,11,6,5,4,3,9,5,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,1,5,11,10,10,13,18,11,9
d02107,machine_learning,45,40,24,34,43,38,43,40,2,1,1,0,2,1,2,0,2,0,2,1,1,3,4,2,0,1,1,1,1,0,1,2,53,72,60,60,65,66,70,51
d02108,astronomy,7,6,2,5,5,1,3,3,5,7,4,2,3,2,2,2,82,70,68,56,72,58,66,66,0,3,2,4,1,4,2,6,109,125,107,119,104,103,111,113
d02109,machine_learning,109,119,111,123,98,108,102,95,9,6,3,8,6,3,13,5,6,6,7,5,6,7,7,6,6,4,2,3,7,3,6,6,194,183,160,178,196,201,186,175
d02110,astronomy,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,7,11,10,7,6,8,6,7,0,0,0,1,0,1,0,0,17,9,10,10,8,5,24,12
d02111,machine_learning,7,10,4,9,7,7,4,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,6,10,5,12,17,11,13,14
d02112,football,2,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,12,14,10,8,14,13,11,7,14,24,23,24,17,25,17,15
d02113,astronomy,2,1,2,1,1,0,1,0,3,0,3,4,1,1,1,0,30,26,26,23,18,19,26,29,0,3,0,4,1,2,1,1,44,30,39,38,41,35,28,47
d02114,astronomy,1,1,0,1,4,1,0,1,0,0,3,1,1,0,0,1,7,9,8,6,11,9,7,11,0,0,0,0,0,0,1,1,15,17,14,12,17,14,12,15
d02115,cooking,0,0,0,0,0,0,1,2,12,11,11,11,15,5,12,11,0,1,1,0,1,0,0,1,1,2,0,0,2,0,2,1,23,24,15,15,16,25,22,24
d02116,astronomy,3,0,2,0,1,1,1,0,0,0,3,1,1,0,1,0,20,20,12,11,20,12,11,15,1,0,0,1,0,0,2,1,20,33,30,31,22,17,25,27
d02117,astronomy,1,3,0,0,0,2,1,0,0,0,2,0,0,0,1,1,20,13,12,7,12,13,11,13,0,0,2,2,0,0,0,1,16,18,22,21,25,15,20,16
d02118,astronomy,0,1,0,0,0,0,0,1,0,0,0,1,1,2,3,0,11,10,17,13,13,16,11,13,0,0,1,1,0,3,2,0,9,22,21,27,28,26,22,25
d02119,astronomy,0,0,2,1,0,1,1,0,1,1,0,0,2,0,0,0,2,8,12,8,5,7,8,10,0,0,0,0,0,0,0,0,17,13,14,22,18,12,12,23
d02120,football,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,18,9,11,9,10,7,12,10,18,15,15,16,12,24,13,20
d02121,cooking,1,0,1,1,1,0,0,0,8,4,8,9,5,12,3,7,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,13,9,10,13,10,14,7,7
d02122,football,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,9,9,8,11,12,14,16,10,15,19,13,21,18,17,16,11
d02123,cooking,0,1,1,0,0,1,0,0,23,9,17,11,14,15,17,16,0,2,4,0,0,0,2,0,0,0,0,1,0,2,2,0,27,19,16,20,19,19,20,25
d02124,machine_learning,51,56,49,52,51,62,51,61,4,2,1,1,1,2,2,4,3,1,1,3,2,1,2,8,4,3,1,2,3,0,2,4,98,91,87,88,91,95,94,90
d02125,football,1,0,1,2,0,0,0,0,2,0,0,0,0,1,1,3,1,0,1,1,1,0,0,1,9,14,14,5,4,9,7,12,14,18,15,11,7,11,15,15
d02126,football,2,2,1,6,1,4,3,2,1,1,3,3,3,1,1,2,1,4,5,3,3,4,5,5,45,61,65,63,68,55,74,52,90,97,106,119,112,101,100,96
d02127,machine_learning,12,8,11,9,7,12,7,14,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,2,0,0,0,0,1,1,16,19,6,13,13,11,10,13
d02128,football,0,0,1,0,1,1,0,0,0,0,1,2,2,1,1,0,0,0,0,0,0,1,1,2,11,9,10,13,10,14,18,15,24,26,18,18,26,39,21,19
d02129,machine_learning,26,26,21,23,23,29,25,16,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,2,0,2,1,1,1,2,1,38,48,41,44,38,28,37,26
d02130,astronomy,0,0,0,1,1,0,0,1,0,0,1,0,2,0,0,0,15,8,8,2,6,10,12,7,0,1,1,1,1,0,2,0,10,14,15,12,16,15,9,11
d02131,machine_learning,13,10,13,9,12,10,6,18,1,0,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,4,0,0,24,20,25,17,17,17,20,22
d02132,football,0,1,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,9,9,3,7,1,10,6,9,8,6,10,6,7,10,13
d02133,cooking,1,1,1,1,1,1,2,2,18,7,17,12,10,17,16,11,1,0,3,0,2,0,0,1,1,3,1,0,0,0,2,1,22,35,26,22,20,22,27,24
d02134,machine_learning,9,10,11,12,15,10,14,11,1,0,0,0,0,0,0,2,0,3,1,0,1,0,0,0,1,1,0,0,1,0,0,0,16,16,20,17,13,18,27,15
d02135,machine_learning,47,58,44,49,58,52,52,54,2,5,2,1,0,0,0,1,6,7,3,3,6,4,3,3,3,3,2,2,3,3,2,3,80,101,98,85,70,77,82,94
d02136,football,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,8,9,9,4,6,6,3,4,14,14,13,12,14,13,13
d02137,machine_learning,93,61,65,66,70,72,52,48,2,5,3,4,2,4,3,2,3,3,2,3,1,4,5,2,1,3,2,4,7,5,1,3,99,112,113,100,90,108,97,113
d02138,cooking,0,1,1,0,0,0,0,0,9,15,11,8,4,10,7,15,3,1,0,0,1,1,1,1,0,0,0,0,0,2,0,2,17,17,16,22,21,17,17,15
d02139,machine_learning,19,15,15,19,18,17,13,10,1,0,1,2,1,0,0,2,0,0,2,0,0,0,0,2,2,1,1,2,1,1,1,1,40,32,21,27,22,23,17,29
d02140,astronomy,2,0,1,2,0,1,4,1,3,1,0,0,0,0,4,2,37,40,49,30,48,36,51,33,0,6,0,2,2,2,2,2,86,75,64,67,71,63,78,71
d02141,machine_learning,9,11,17,9,16,10,14,12,2,1,1,0,1,0,0,2,0,2,0,1,1,1,1,1,2,1,1,0,0,0,1,0,23,23,22,29,20,20,23,16
d02142,machine_learning,16,16,12,9,17,14,26,20,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,21,29,20,23,33,20,23,25
d02143,football,1,0,1,1,0,1,0,2,1,0,2,0,0,2,0,1,0,0,1,1,1,0,1,1,11,23,19,19,19,14,10,13,46,25,18,24,29,29,24,25
d02144,football,0,1,1,0,1,1,0,1,2,0,0,2,1,0,0,0,0,0,1,0,1,1,1,2,15,8,8,7,8,14,15,10,18,20,18,15,20,20,19,26
d02145,football,2,1,1,1,5,0,0,1,1,0,2,1,3,1,0,1,1,2,4,0,2,2,5,1,26,38,32,25,32,21,20,24,38,62,56,49,46,58,52,37
d02146,machine_learning,10,4,6,6,7,5,4,4,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,12,9,7,9,9,6,10,2
d02147,astronomy,1,2,0,0,1,2,3,2,0,3,1,1,0,1,1,2,21,25,21,25,25,28,24,31,1,1,0,1,0,1,1,0,38,30,37,42,39,36,41,44
d02148,astronomy,4,2,3,1,2,1,3,0,0,1,3,0,2,2,2,0,39,36,42,29,32,28,38,42,1,2,1,2,1,0,0,0,73,55,55,57,55,49,51,53
d02149,cooking,3,1,1,1,1,1,1,0,16,27,21,28,20,25,28,17,0,0,2,1,2,0,0,2,0,1,2,1,1,1,2,1,32,30,44,46,32,26,40,39
d02150,cooking,0,1,0,1,2,0,0,0,13,8,14,15,13,16,8,7,1,0,0,1,0,0,0,1,1,0,3,0,0,1,0,0,12,12,18,18,17,12,21,13
d02151,football,2,0,0,0,0,0,0,1,1,2,1,0,1,0,0,2,0,3,1,0,0,3,0,3,14,15,12,15,15,19,20,10,28,28,28,30,33,23,31,19
d02152,cooking,3,2,4,1,2,2,2,2,44,39,36,50,50,43,54,46,0,2,1,2,1,3,2,4,1,2,2,3,2,2,3,2,69,61,78,76,58,68,83,67
d02153,machine_learning,4,4,4,6,5,4,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,10,7,2,8,15,9,6,6
d02154,astronomy,2,0,2,1,1,0,0,0,2,3,3,0,2,2,4,1,26,26,26,31,31,20,20,21,1,1,3,2,2,0,0,2,52,47,38,38,33,36,47,31
d02155,cooking,0,1,1,0,1,1,1,1,7,4,5,5,5,10,8,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,8,9,15,13,11,6,18
d02156,cooking,2,0,0,1,1,2,2,1,22,6,15,13,10,13,24,14,0,2,0,2,0,3,0,0,1,0,0,0,0,1,2,1,22,21,23,17,27,18,20,23
d02157,football,1,0,0,0,2,0,2,0,0,0,2,0,1,0,0,2,3,1,1,1,2,0,2,2,27,18,14,22,20,16,21,16,32,25,32,18,27,25,27,20
d02158,football,0,0,0,0,0,1,1,1,0,2,0,0,2,2,1,0,3,1,0,0,0,0,0,0,11,12,10,18,18,19,20,23,17,25,30,27,31,31,20,17
d02159,football,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,7,6,10,10,10,6,8,10,10,28,13,12,19,13,12,9
d02160,astronomy,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,6,8,4,7,6,5,6,2,1,1,0,0,0,0,1,0,12,11,14,9,10,4,12,10
d02161,football,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,6,10,4,10,5,11,7,5,12,17,7,12,11,7,11,15
d02162,astronomy,0,1,0,0,0,2,0,0,1,2,1,2,0,0,0,1,14,11,15,8,9,17,17,5,1,0,1,1,1,0,1,0,21,22,16,26,20,26,21,18
d02163,football,3,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,2,0,0,0,1,6,6,5,4,4,6,3,1,4,9,7,6,5,10,7,7
d02164,astronomy,1,0,1,1,0,0,4,1,1,1,2,0,1,0,0,1,16,22,19,24,17,11,19,12,0,0,1,0,1,1,1,1,19,31,23,21,22,33,30,30
d02165,cooking,0,0,0,0,1,0,1,1,11,3,4,11,8,8,6,8,0,1,0,1,1,0,0,1,2,0,1,0,0,0,0,0,16,10,13,19,5,20,10,10
d02166,cooking,1,1,1,2,3,1,2,0,15,16,12,17,15,14,14,15,1,0,0,0,1,1,0,1,0,1,2,0,1,1,0,1,31,17,26,24,33,26,20,27
d02167,football,3,13,14,13,17,9,7,8,8,16,13,17,10,6,16,10,12,13,6,19,4,13,9,7,250,222,216,216,258,217,226,238,359,375,379,391,398,381,372,364
d02168,machine_learning,12,10,7,10,5,17,10,6,1,0,0,1,0,2,1,2,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,21,21,15,21,17,15,14,17
d02169,astronomy,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5,0,8,4,9,3,6,6,0,0,0,0,0,0,0,0,14,12,15,8,20,18,12,5
d02170,football,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,0,6,10,8,8,7,4,6,10,15,7,8,5,8,9,17,7
d02171,machine_learning,21,21,22,23,16,18,13,21,0,0,1,1,1,1,1,1,1,1,0,2,0,0,1,1,2,0,1,1,2,2,0,3,35,40,28,37,37,38,22,33
d02172,football,0,1,0,0,0,0,0,1,0,1,0,1,0,1,3,0,1,0,0,0,0,1,2,0,10,12,7,7,12,12,10,5,14,13,14,11,13,15,10,16
d02173,cooking,0,1,2,2,1,1,2,0,21,25,35,29,47,35,31,24,1,1,4,1,4,0,4,2,3,1,2,2,1,1,0,1,66,39,51,45,52,61,50,53
d02174,cooking,0,1,0,1,0,1,1,0,13,11,6,5,4,8,6,10,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,14,12,10,16,11,17,12,12
d02175,cooking,1,0,1,0,0,1,0,0,8,18,14,14,17,10,8,17,0,1,1,0,1,0,0,0,0,0,1,2,1,1,0,2,17,15,19,19,14,18,18,16
d02176,cooking,1,2,0,3,2,1,0,0,10,14,17,12,19,12,21,15,0,2,0,2,0,1,0,1,0,0,0,1,1,2,1,0,25,25,27,14,19,21,19,27
d02177,football,2,0,0,0,0,0,1,1,1,1,0,0,1,1,2,0,0,0,1,0,0,1,1,0,9,11,18,7,11,13,8,11,20,22,18,12,19,25,20,20
d02178,cooking,1,1,0,0,2,0,0,0,7,11,4,8,5,8,7,8,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,8,13,11,12,5,10,18
d02179,machine_learning,14,17,8,23,10,17,10,21,2,1,0,0,0,0,3,0,1,2,0,0,0,1,1,2,1,0,0,1,1,1,0,1,22,19,20,26,27,31,19,20
d02180,football,1,1,0,1,1,0,1,2,0,0,4,4,3,2,2,1,1,4,2,1,1,0,1,0,40,28,27,26,27,31,29,24,48,41,36,44,56,70,48,56
d02181,football,1,2,0,0,0,0,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,13,10,13,7,14,13,9,8,21,22,19,18,23,19,15,23
d02182,cooking,0,1,1,1,0,0,0,0,12,23,14,8,13,12,5,11,2,0,0,1,2,1,0,0,1,3,0,2,0,0,0,0,20,22,17,18,16,16,13,22
d02183,astronomy,1,3,0,2,2,0,1,2,3,0,2,0,1,2,0,1,33,31,27,25,26,20,40,31,0,0,1,0,1,0,2,2,37,39,45,43,41,42,44,39
d02184,football,2,0,0,2,1,0,0,0,1,1,0,0,0,2,2,0,0,0,0,1,2,1,0,3,12,18,15,16,5,21,20,17,21,28,18,19,30,36,26,25
d02185,cooking,1,0,1,0,1,0,0,0,5,7,10,7,9,5,13,15,0,1,0,0,1,0,0,1,1,1,1,0,0,1,2,0,17,20,19,16,21,13,27,27
d02186,astronomy,1,3,0,2,0,1,0,1,1,2,1,2,0,1,1,1,31,22,22,34,34,24,34,20,1,4,1,3,2,2,2,2,46,42,48,44,53,39,49,47
d02187,football,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,12,13,10,7,7,10,16,12,16,18,13,18,20,12,27,11
d02188,football,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,2,7,3,4,4,6,8,5,3,6,2,2,6
d02189,astronomy,2,1,1,0,0,0,1,0,0,0,0,0,1,0,2,1,21,18,10,15,15,22,23,23,0,1,1,1,0,1,1,1,27,26,33,36,32,32,31,26
d02190,cooking,0,0,1,0,1,1,0,0,15,2,14,8,10,12,13,7,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,14,15,24,17,17,20,22,19
d02191,cooking,2,4,2,1,3,4,5,4,61,60,52,46,49,68,57,68,2,4,1,4,2,6,0,8,2,6,3,3,3,0,2,2,93,83,96,90,75,89,83,102
d02192,football,0,2,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,6,10,10,11,6,10,8,14,12,12,13,9,11,11,18
d02193,football,1,0,2,1,0,0,1,1,1,2,2,2,1,3,0,2,2,2,5,2,1,1,3,4,36,21,20,33,27,21,34,18,40,38,42,43,45,52,41,39
d02194,football,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,0,4,7,9,12,8,9,11,11,11,12,10,6,12,15,11,13
d02195,machine_learning,17,10,9,10,10,9,8,9,0,1,1,0,0,0,1,2,0,0,2,3,1,0,0,1,0,2,1,0,1,1,1,1,23,14,27,24,19,23,25,13
d02196,football,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,1,0,2,0,0,0,1,1,0,9,7,10,7,4,9,3,8,9,14,9,12,16,13,20,11
d02197,football,1,4,0,1,1,4,2,2,1,3,1,0,0,0,2,3,2,2,2,1,0,2,3,2,30,28,40,31,24,25,29,27,48,48,46,36,38,49,38,47
d02198,football,2,4,1,2,2,2,1,1,1,1,1,3,2,4,3,3,1,5,2,3,2,0,1,1,45,48,42,46,47,36,36,44,73,67,66,83,65,75,54,48
d02199,cooking,1,0,0,2,2,0,2,1,17,10,14,11,14,8,13,11,0,2,0,1,0,1,1,1,0,1,1,0,0,0,0,0,16,18,22,11,15,16,17,16
d02200,machine_learning,17,20,17,20,21,16,16,22,0,0,1,0,0,1,0,1,1,1,2,1,1,1,1,0,1,1,0,1,0,2,1,1,23,30,23,34,35,23,32,23
d02201,astronomy,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,5,6,8,2,5,10,5,0,0,0,1,0,0,0,0,7,11,9,11,9,9,9,5
d02202,cooking,1,1,0,0,0,1,2,1,18,11,10,13,13,10,9,13,0,0,0,0,0,1,0,2,0,1,1,0,0,0,1,1,17,24,19,26,18,18,24,24
d02203,machine_learning,54,53,47,48,54,55,51,45,2,2,3,2,3,7,2,1,3,1,1,3,0,3,4,3,2,2,1,0,5,4,1,0,80,60,97,82,95,84,78,83
d02204,astronomy,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13,3,9,6,6,6,8,8,1,0,0,0,0,0,0,0,11,7,14,9,12,14,7,5
d02205,football,1,0,1,0,0,1,0,1,0,1,3,0,2,1,0,2,0,0,2,2,1,3,1,1,17,21,24,27,16,26,23,22,34,36,36,32,43,35,35,31
d02206,cooking,0,1,0,0,0,1,0,1,10,3,10,3,6,8,6,6,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,9,6,8,14,13,10,10,16
d02207,cooking,2,2,2,2,1,2,1,0,27,28,26,33,38,25,26,21,2,1,1,1,0,3,0,1,1,1,0,2,1,1,2,1,56,58,50,50,58,50,55,57
d02208,machine_learning,3,10,4,8,7,7,6,8,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,3,0,1,1,1,0,1,9,16,10,15,10,14,16,12
d02209,astronomy,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,3,7,5,2,4,7,0,0,0,0,0,1,1,0,7,15,7,7,8,10,13,12
d02210,football,3,2,1,3,1,1,2,2,3,4,0,4,5,3,2,2,1,1,3,1,1,0,1,4,43,51,47,59,46,39,45,49,66,63,62,64,78,88,83,79
d02211,machine_learning,6,8,11,8,14,11,7,9,0,1,2,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,11,14,16,14,12,15,18
d02212,cooking,0,0,1,0,1,0,1,2,10,10,18,16,12,11,17,15,1,2,1,2,0,0,0,1,0,1,0,2,0,0,0,0,21,31,27,24,23,16,14,14
d02213,football,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,3,4,4,14,10,10,6,7,10,15,16,14,15,13,11,14
d02214,astronomy,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,3,4,4,2,4,9,0,0,0,0,0,0,1,0,9,11,10,6,11,11,6,6
d02215,football,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,5,5,2,7,2,5,4,7,4,7,7,6,7,8,6,4
d02216,football,3,0,2,1,0,1,2,2,0,1,1,1,2,2,1,2,3,1,3,2,1,1,1,2,35,23,43,20,27,36,41,35,37,51,48,54,51,52,50,34
